study_number,raw_dataset,raw_dataset_label,raw_variable,raw_variable_label,raw_variable_ordinal,raw_variable_type,raw_data_format,study_specific,annotation_ordinal,mapping_is_dataset,annotation_text,target_sdtm_domain,target_sdtm_variable,target_sdtm_variable_role,target_sdtm_variable_codelist_code,target_sdtm_variable_controlled_terms_or_format,target_sdtm_variable_ordinal,origin,mapping_algorithm,entity_sub_algorithm,target_hardcoded_value,target_term_value,target_term_code,condition_ordinal,condition_group_ordinal,condition_add_raw_dat,condition_add_tgt_dat,condition_left_raw_dataset,condition_left_raw_variable,condition_left_sdtm_domain,condition_left_sdtm_variable,condition_operator,condition_right_text_value,condition_right_sdtm_domain,condition_right_sdtm_variable,condition_right_raw_dataset,condition_right_raw_variable,condition_next_logical_operator,merge_type,merge_left,merge_right,merge_condition,unduplicate_keys,groupby_keys,target_resource_raw_dataset,target_resource_raw_variable
CDISCPILOT01,ae_raw,Adverse Events,AESCNO,Was the adverse event associated with a congenital anomaly or birth defect? ,9,Text,$3 ,FALSE,1,FALSE,AE.AESCONG,AE,AESCONG,Record Qualifier,C66742,(NY),24,CRF,assign_ct,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDISCPILOT01,ae_raw,Adverse Events,AEDIS,Did the adverse event result in disability or permanent damage? ,10,Text,$3 ,FALSE,1,FALSE,AE.AESDISAB,AE,AESDISAB,Record Qualifier,C66742,(NY),25,CRF,assign_ct,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDISCPILOT01,ae_raw,Adverse Events,IT.AESDTH,Did the adverse event result in death? [en],6,Text,$3 ,FALSE,1,FALSE,If Yes then AESDTH = Y else Not submitted,AE,AESDTH,Record Qualifier,,,26,CRF,condtion_add,hardcode_no_ct,,"""Y""",,1.1,0,"condition_add(ae_raw, IT.AESDTH == ""Yes"")",,ae_raw,IT.AESDTH,,,Checked,,,,,,,,,,,,,,
CDISCPILOT01,ae_raw,Adverse Events,IT.AESDTH,Did the adverse event result in death? [en],6,Text,$3 ,FALSE,1,FALSE,If Yes then AESDTH = Y else Not submitted,AE,AESDTH,Record Qualifier,,,26,CRF,condtion_add,hardcode_no_ct,,"""Not Submitted""",,1.2,0,"condition_add(ae_raw, IT.AESDTH != ""Yes"")",,ae_raw,IT.AESDTH,,,Checked,,,,,,,,,,,,,,
CDISCPILOT01,ae_raw,Adverse Events,IT.AESHOSP,Did the adverse event result in initial or prolonged     hospitalization for the subject? [en],11,Text,$3 ,FALSE,1,FALSE,AE.AESHOSP,AE,AESHOSP,Record Qualifier,C66742,(NY),27,CRF,assign_ct,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDISCPILOT01,ae_raw,Adverse Events,IT.AESLIFE,"Was the adverse event life threatening? [en]
Dose Form [en]",7,Text,$3 ,FALSE,1,FALSE,AE.AESLIFE,AE,AESLIFE,Record Qualifier,C66742,(NY),28,CRF,assign_ct,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDISCPILOT01,ae_raw,Adverse Events,AESOD,Did the adverse event occur with overdose? ,12,Text,$3 ,FALSE,1,FALSE,AESOD,AE,AESOD,Record Qualifier,C66742,(NY),29,CRF,assign_ct,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDISCPILOT01,ae_raw,Adverse Events,AEDTCOL,Collection date,16,DateTime,mm/dd/yyyy,FALSE,1,FALSE,AE.AEDTC,AE,AEDTC,Timing Variable,,ISO 8601,30,CRF,assign_datetime,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDISCPILOT01,ae_raw,Adverse Events,IT.AESTDAT,"What is the adverse event start date?
Start Date [en]",2,DateTime,mm/dd/yyyy,FALSE,1,FALSE,AE.AESTDTC,AE,AESTDTC,Timing Variable,,ISO 8601,31,CRF,assign_datetime,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDISCPILOT01,ae_raw,Adverse Events,IT.AEENDAT,"What was the adverse event end date?
End Date [en]
Frequency [en]",3,DateTime,mm/dd/yyyy,FALSE,1,FALSE,AE.AEENDTC,AE,AEENDTC,Timing Variable,,ISO 8601,32,CRF,assign_datetime,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDISCPILOT01,,,,,,,,,,,Unique identifier for a study.,AE,STUDYID,Identifier Variable,,,1,Protocol,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDISCPILOT01,,,,,,,,,,,Set to USUBJID in SDTM.DM domain. ,AE,USUBJID,Identifier Variable,,,3,Derived,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDISCPILOT01,,,,,,,,,,,Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.,AE,AESEQ,Identifier Variable,,,4,Derived,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDISCPILOT01,,,,,,,,,,,"Taken directly from SDTM IG 3.1.2, p41: --DY = (date portion of --DTC) - (date portion of SDTM.DM.RFSTDTC) + 1 if --DTC is on or after SDTM.DM.RFSTDTC; --DY = (date portion of --DTC) - (date portion of SDTM.DM.RFSTDTC) if --DTC precedes SDTM.DM.RFSTDTC.",AE,AESTDY,Timing Variable,,,33,Derived,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDISCPILOT01,,,,,,,,,,,"Taken directly from SDTM IG 3.1.2, p41: --DY = (date portion of --DTC) - (date portion of SDTM.DM.RFSTDTC) + 1 if --DTC is on or after SDTM.DM.RFSTDTC; --DY = (date portion of --DTC) - (date portion of SDTM.DM.RFSTDTC) if --DTC precedes SDTM.DM.RFSTDTC.",AE,AEENDY,Timing Variable,,,34,Derived,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDISCPILOT01,ae_raw,Adverse Events,AELLT,Lowest Level Term,,Text,$200 ,FALSE,1,FALSE,Derived from MedDRA Dictionary,,AELLT,Variable Qualifier,,MedDRA,6,Derived,assign_no_ct,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDISCPILOT01,ae_raw,Adverse Events,AELLTCD,Lowest Level Term Code,,Numeric,$8 ,FALSE,1,FALSE,Derived from MedDRA Dictionary,,AELLTCD,Variable Qualifier,,MedDRA,7,Derived,assign_no_ct,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDISCPILOT01,ae_raw,Adverse Events,AEDECOD,Dictionary-Derived Term,,Text,$200 ,FALSE,1,FALSE,Derived from MedDRA Dictionary,,AEDECOD,Variable Qualifier,,MedDRA,8,Derived,assign_no_ct,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDISCPILOT01,ae_raw,Adverse Events,AEPTCD,Preferred Term Code,,Numeric,$8 ,FALSE,1,FALSE,Derived from MedDRA Dictionary,,AEPTCD,Variable Qualifier,,MedDRA,9,Derived,assign_no_ct,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDISCPILOT01,ae_raw,Adverse Events,AEHLT,High Level Term,,Text,$200 ,FALSE,1,FALSE,Derived from MedDRA Dictionary,,AEHLT,Variable Qualifier,,MedDRA,10,Derived,assign_no_ct,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDISCPILOT01,ae_raw,Adverse Events,AEHLTCD,High Level Term Code,,Numeric,$8 ,FALSE,1,FALSE,Derived from MedDRA Dictionary,,AEHLTCD,Variable Qualifier,,MedDRA,11,Derived,assign_no_ct,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDISCPILOT01,ae_raw,Adverse Events,AEHLGT,High Level Group Term,,Text,$200 ,FALSE,1,FALSE,Derived from MedDRA Dictionary,,AEHLGT,Variable Qualifier,,MedDRA,12,Derived,assign_no_ct,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDISCPILOT01,ae_raw,Adverse Events,AEHLGTCD,High Level Group Term Code,,Numeric,$8 ,FALSE,1,FALSE,Derived from MedDRA Dictionary,,AEHLGTCD,Variable Qualifier,,MedDRA,13,Derived,assign_no_ct,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDISCPILOT01,ae_raw,Adverse Events,AEBODSYS,Body System or Organ Class,,Text,$200 ,FALSE,1,FALSE,Derived from MedDRA Dictionary,,AEBODSYS,Variable Qualifier,,MedDRA,14,Derived,assign_no_ct,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDISCPILOT01,ae_raw,Adverse Events,AEBDSYCD,Body System or Organ Class Code,,Numeric,$8 ,FALSE,1,FALSE,Derived from MedDRA Dictionary,,AEBDSYCD,Variable Qualifier,,MedDRA,15,Derived,assign_no_ct,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDISCPILOT01,ae_raw,Adverse Events,AESOC,Primary System Organ Class,,Text,$200 ,FALSE,1,FALSE,Derived from MedDRA Dictionary,,AESOC,Variable Qualifier,,MedDRA,16,Derived,assign_no_ct,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDISCPILOT01,ae_raw,Adverse Events,AESOCCD,Primary System Organ Class Code,,Numeric,$8 ,FALSE,1,FALSE,Derived from MedDRA Dictionary,,AESOCCD,Variable Qualifier,,MedDRA,17,Derived,assign_no_ct,,,,,,,,,,,,,,,,,,,,,,,,,,,
